Date,Close,High,Low,Open,Volume,RSI,MACD,EMA_20
2020-02-05,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100,41.399509173109806,-11.334826794181595,662.5169785887234
2020-02-06,652.1513671875,656.267018049872,644.2332634474068,650.496207815146,15538577,43.60839550696724,-10.682916885835311,661.5297775028926
2020-02-07,641.3478393554688,649.7133433335028,638.9544787429636,649.1094039600182,12209212,39.449981740304146,-10.912238501101228,659.6076881555188
2020-02-10,642.2200927734375,646.6488813487252,630.9691553464403,638.8201869242226,15142476,39.94788806807552,-10.897968969735302,657.9517266905586
2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816,44.28743011680377,-10.150574858789241,657.1841538547019
2020-02-12,657.7433471679688,659.7788355859949,650.8988598376147,651.4133311627777,13533565,48.39696494300628,-8.823032217607874,657.2374103607273
2020-02-13,659.4654541015625,661.0759388268148,654.2985245799224,661.0759388268148,13565659,49.28070596111499,-7.545011279328833,657.4496050027116
2020-02-14,665.4825439453125,671.6783575404241,650.0488229864293,660.8524216851458,21227841,52.35123015945481,-5.977734017878674,658.2146468067688
2020-02-17,661.2998046875,673.7809604834371,659.5327802045254,666.1088634101769,13149130,50.08149298222055,-5.015353722290001,658.5084713668384
2020-02-18,656.4458618164062,660.248373884015,651.9723392868693,660.248373884015,11127161,47.507376027682305,-4.591406155949812,658.3120323620354
2020-02-19,672.7295532226562,673.9150349477495,659.8905275306022,661.7917537765035,14084409,55.72829139848352,-2.907945857538607,659.6851295868564
2020-02-20,664.7443237304688,674.6084467350322,663.7825121618259,669.687583672214,16892268,51.471268480687776,-2.192854861207934,660.1669576005338
2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214,43.29112269217922,-3.0707475225823373,658.8560884986972
2020-02-25,633.6309814453125,649.2883120922913,630.7678836964259,649.2883120922913,27745062,38.681139984462426,-4.742397973277207,656.4536973507559
2020-02-26,622.7155151367188,631.8191601622372,620.6353526146177,630.7678804610105,29362748,35.228380885152305,-6.868800647603734,653.2405371398952
2020-02-27,620.1431884765625,623.5206972699094,612.4262996742075,620.9260041253467,25054993,34.44801245461642,-8.661708565933395,650.0884086957683
2020-02-28,594.375732421875,607.0582205033455,592.7429101600251,606.1187459732274,39315769,27.80382763384614,-12.023223132338444,644.782439526826
2020-03-02,588.7838134765625,612.426378055896,582.0511321802886,606.2081680239584,29500495,26.60458243310198,-14.96595060726952,639.4492370458486
2020-03-03,600.72802734375,605.6712869241514,591.4007134151205,594.8453531423023,27398798,33.22934648834739,-16.148139396146235,635.7615027885058
2020-03-04,599.3189086914062,605.6265863851147,585.0930684252744,604.8213738082619,22105261,32.85260284866179,-17.00273962868789,632.290779541163
2020-03-05,586.5469970703125,607.4831207123542,584.2431048990697,604.9108243565992,30510390,29.579172032610998,-18.49737675354504,627.9342288296534
2020-03-06,568.5857543945312,576.2579099445863,555.2099199542964,568.1384140570675,33734039,25.700833225618624,-20.890398113212882,622.2819931691656
2020-03-09,498.4184875488281,555.1652260313806,489.8516805673975,554.7402228175777,88187018,16.56383567022742,-28.124593991091615,610.4854688243715
2020-03-11,516.0441284179688,527.1832005807552,495.6671803789598,495.6671803789598,59578576,23.884099519791917,-32.06586905125221,601.4910554523332
2020-03-12,475.5362854003906,492.5356942044962,469.13914008437206,485.37807039619054,55970485,19.62304018231093,-38.01973449236709,589.4953630664338
2020-03-13,494.4593811035156,509.98250923399024,421.58557799627334,446.45838815033005,73297403,26.24292098936195,-40.741635856041285,580.4443171652035
2020-03-16,454.3765563964844,483.00714524632815,449.58986531183916,474.4403385952524,38482258,22.092321999601694,-45.60737780300178,568.4378637586589
2020-03-17,450.93194580078125,474.19430109253625,448.7846523850041,468.4905324264047,45445979,21.77361207949079,-49.17461034112671,557.2468239531468
2020-03-18,433.2615051269531,463.41311163950786,429.9063628131876,458.6711544738802,44730415,20.16639541809367,-52.818664031972844,545.4386983506522
2020-03-19,410.5359191894531,432.59042415452996,399.12841250234374,411.6095658236809,61404010,18.29592552946133,-56.88463700947938,532.5908146210141
